SC,JP,EN,VN,Comment
d111.txt,,,,
自2]阿咧，不是那个家伙啊？,自2]あれ？あいつじゃ、ない？,自2]Looks like you're not her.,"自2]Ủa, không phải ả kia à?",
敌02]你是人类？,敌02]君は、人間？,敌02]Are you a human being?,敌02]Ngươi là con người?,
自3]你是有多久没见过活人了啊。,自3]どんだけ生きてる人間を見なかったのかよ。,自3]How long has it been since you last saw a living human being...?,自3]Biết bao lâu rồi ngươi chưa từng thấy người sống hả.,
敌00]人类在黑暗之中存活不了多久的喔。,敌00]闇の中じゃそんなに生きられないよ、人間は。,"敌00]Humans can't last long in the darkness, you know?",敌00]Con người đâu sống sót được bao lâu trong bóng tối đâu.,
自0]我现在只想着快点前进啦。,自0]今はさっさと進みたいだけよ。,自0]I just wanna keep going.,自0]Giờ ta chỉ có muốn đi tiếp cho mau thôi.,
MUSIC,MUSIC,MUSIC,MUSIC,
敌01]看来你还不知道发生了什么呢。,敌01]何があったか全く分からなかったようだね。,敌01]Seems like you don't really know what's going on here.,敌01]Xem ra ngươi vẫn chưa biết chuyện gì đang xảy ra nhỉ.,
自0]那就让我了解一下吧！,自0]じゃ分らせてらせてもらうわね！,自0]Then show me!,自0]Vậy hãy khiến ta hiểu rõ thử xem nào!,
PAUSE,PAUSE,PAUSE,PAUSE,
敌01]没想到这么厉害。,敌01]知らなかったよ、そんなにすごいなんて。,敌01]I didn't see this coming.,敌01]Không ngờ rằng lợi hại như vậy.,
自1]是你太弱了吧？,自1]そっちが弱すぎでは？,自1]That's because you're too weak.,自1]Do ngươi quá yếu đó chứ?,
敌00]那可不一定~,敌00]それはどうかな～,敌00]I'm not sure about that~,敌00]Chưa chắc đâu nhé~,
自1]快点走开啦。,自1]早くどいてよ。,自1]Enough. Just go away.,自1]Mau tránh ra ta đi.,
,,,,
d112.txt,,,,
自0]奇怪的家伙，从来没见过啊。,自0]変なヤツよ、見たことねえな。,自0]What a weirdo. I don't think I've seen you before.,"自0]Cái tên kỳ quặc, chưa từng thấy ngươi bao giờ.",
敌02]你是人类？,敌02]きみは、人間？,敌02]Are you a human being?,敌02]Ngươi là con người?,
自2]正是！,自2]いかにも！,自2]That's right!,自2]Đúng thế!,
敌00]那你不该来这里的喔。,敌00]来るべきじゃないよ。,敌00]Then you shouldn't be here.,敌00]Vậy thì ngươi không nên tới nơi này đâu.,
自3]诶？,自3]え？,自3]What?,自3]Ể?,
MUSIC,MUSIC,MUSIC,MUSIC,
敌00]看来你不知道什么是危机感呢。,敌00]危機感ってヤツを知らなさそうよね。,"敌00]You seem not to know how to spell ""crisis"" means...",敌00]Xem ra ngươi không biết thế nào là cảm giác nguy cơ cập kề nhỉ…,
自4]好黑啊这里，我想冲过去了！,自4]暗いなここ。突貫したい！,"自4]It's too dark here, I am going to dash through!","自4]Chỗ này tối quá à, ta muốn vọt qua rồi!",
PAUSE,PAUSE,PAUSE,PAUSE,
敌01]没想到这么厉害。,敌01]知らなかったよ、そんなに強いなんて。,敌01]I didn't see this coming.,敌01]Không ngờ rằng lợi hại như vậy.,
自2]嘿嘿，不费吹灰之力。,自2]ふふ、余裕余裕。,"自2]Aha, piece of cake.","自2]Khà khà, không tốn mảy may sức lực.",
敌00]你是来被奇怪的气息吸引来的吗？,敌00]変な気配に惹きつけられたの？,敌00]Were you drawn to this place by the strange scent?,敌00]Ngươi thì có bị cái hơi khí kỳ lạ hấp dẫn mà đến đây không?,
自4]我是来调查异变的喔。,自4]異変を調査しに来たのよ。,自4]I'm here to investigate the incident.,自4]Ta đến điều tra dị biến mà.,
敌00]据我观察，远处那座洋馆很可疑喔。,敌00]あたしの観察によると、あの遠くにある洋館は怪しいよ。,"敌00]According to my observation, that mansion seems very suspicious.","敌00]Theo ta quan sát, thì tòa dương quán đằng xa kia rất khả nghi đó.",
自0]那里吗？太熟悉了！,自0]あそこか？お馴染みだぜ！,自0]That place? I know it too well.,自0]Nơi đó sao? Quen thuộc quá rồi!,
,,,,
d113.txt,,,,
自3]看来来者不善呢。,自3]「来者善からず」、か。,"自3]Hmm, seems like you're not here to greet me.",自3]Xem ra 'kẻ đến' bất thiện nhỉ.,
敌02]你是人类？,敌02]きみは、人間？,敌02]Are you a human being?,敌02]Ngươi là con người?,
自0]没错喔。,自0]そうですよ。,自0]Bingo.,自0]Chẳng sai đâu.,
敌00]能来这里的人类都不简单呢。,敌00]ここに来れた人間はみんな普通じゃないね。,敌00]It's no small feat for a human to make it here.,敌00]Con người mà có thể đến nơi này thì cũng không phải dạng vừa nhỉ.,
MUSIC,MUSIC,MUSIC,MUSIC,
自1]总之是把你打得心服口服的程度喔。,自1]とにかくお前が心から服従するほどボコボコしてやるわよ。,"自1]And you will be defeated by this human, overwhelmingly.",自1]Ngắn gọn là ở dạng trình độ đánh ngươi đến nỗi tâm phục khẩu phục đó.,
敌03]真的吗？想领教一下呢。,敌03]ほんと？お手並み拝見したいものね。,敌03]Is that so? Do show me.,敌03]Là thật sao? Ta muốn lĩnh giáo xem thử đấy.,
PAUSE,PAUSE,PAUSE,PAUSE,
敌01]没想到这么厉害。,敌01]知らなかったよ、そんなに強いなんて。,敌01]I didn't see that coming.,敌01]Không ngờ rằng lợi hại như vậy.,
自3]抱歉，我可是拥有神的力量呢。,自3]ごめんね、神の力を持ってるんで。,"自3]My apology, I possess the power of god.","自3]Thứ lỗi, nhưng ta nắm giữ sức mạnh của thần cơ.",
敌00]我不想和你过多纠缠呢，先走一步咯。,敌00]きみとはごたごたしたくないよ。お先に。,"敌00]Well, this is pointless. I'd better go now.","敌00]Ta không muốn dây dưa quá nhiều với ngươi, xin phép đi trước vậy.",
