SC,JP,EN,VN
"♪空想乡
 
 东方系列经典的旋律再一次响起！这次配合四季的变化，是不是感觉很有趣呢？
 不过似乎有点失落的样子，到底是为什么呢？","♪空想郷
 東方シリーズ伝統的なリズムをもう一度！
 今回は季節の変化に合わせてみましたが、
 面白みを感じませんか？でも何だか落ち込んでるみたいです。なぜでしょう？","♪East Utopian ~ Dreamland
 Let the most classic Touhou melody rings again!
The music matches the changing of four seasons, isn't that fun?
 Somehow it seems a bit upset, but why?","♪Không Tưởng Hương ~ Dreamland
 Giai điệu kinh diển của Series Touhou vang lên một lần nữa!
 Lần này phối hợp sự biến hóa của bốn mùa, có cảm thấy
 thú vị lắm hay không nhỉ?
 Nhưng mà hình như có chút vẻ sa sút, rốt cuộc là tại sao nhỉ?"
"♪散落的烛光
 
 为了表现萤火虫的光芒和夜晚森林疾走的情景，精心制作的道中曲
 不过可惜原工程遗失了_(:3」∠)_","♪散らばるロウソクの光

 蛍の光と、夜の森を走る光景を表現するために、念を入れて作った曲です。
 残念ですが元のプロジェクト内容を失くしちゃいました_(:3」∠)_","♪Scattered candlelight ~ Candlelight
 Made with a lot of effort, in order to bring out the picture of
running in the forest in darkness and be encircled with fireflies.
 But it's unfortunate the project files gone missing _(:3」∠)_","♪Ánh nến Tản mát ~ Candlelight
 Nhạc khúc giữa màn, được dày công chế tác nhằm để thể hiện tia sáng
 của đom đóm và cảnh tượng như chạy vút xuyên rừng rậm ban đêm.
 Nhưng đáng tiếc file công trình gốc bị thất lạc mất rồi _(:3」∠)_"
"♪黑暗少女
 
 一响起就让人感觉不安的曲子，用了很强的鼓点来表达紧张感
 作为原创角色的主题曲不知感觉怎么样呢~","♪闇の少女

 奏で始めると不安させる曲です。強いドラム音で緊張感を表現してみました。
 オリジナルキャラのテーマとして、いかがでしょうか？～","♪Dark girl
 Make you feel nervous as the first note rings, we use very intense
drum beat to express the intensity. What do you think of this as
the original character's theme song?","♪Thiếu nữ Hắc ám ~ Dark Girl
 Một nhạc khúc mà hễ vang lên là liền khiến người ta cảm thấy bất an,
 tôi có dùng nhịp trống rất mạnh để diễn tả cảm giác căng thẳng.
 Là nhạc khúc chủ đề nguyên chế của nhân vật, không biết cảm giác
 thế nào nhỉ."
"♪湖面的冰之曲
 原曲：ルーネイトエルフ 
 想要表现冰的质感所以用了清脆的乐器，整体也有着欢快的气氛","♪湖面の氷よりの一曲  ☆原曲：ルーネイトエルフ 

 氷の質感を表現するために澄んだ音の楽器を使いました。全体的に愉快な雰囲気。","♪The rhythm of ice on the lake ☆Original:ルーネイトエルフ
 Attempted to express the texture of ice, so we chose instruments
that have a crispy sound. The song has a bright vibe to it.","♪Nhạc khúc Băng trên Mặt Hồ ~ The Rhythm of Ice
☆Nguyên Khúc: Lunate Elf
 Tôi muốn thể hiện chất cảm băng đá cho nên đã dùng nhạc khí có tiếng
 trong trẻo, cả bài đều có bầu không khí vui thích."
"♪妖精背水一战
 原曲：おてんば恋娘
 最强的家伙出现了！什么？！对方似乎也不好对付啊~
 于是想描绘妖精努力战斗的场景","♪妖精の背水一戦  ☆原曲：おてんば恋娘

 最強のあいつが現れた！なに？！一筋縄ではいかない～
 そう思いながら描いた頑張って戦う妖精のシーンです。","♪Fairy's back to the lake ~ A dare ☆Original:おてんば恋娘
 The strongest one appeared! What?! She seems not an enemy to
be trifled with. Just wanna to depicting the fairy's battle.","♪Yêu tinh Bối Thủy Nhất Chiến ~ A Dare
☆Nguyên Khúc: Cô nàng Ngổ ngáo Yêu đương
 Cô ả mạnh nhất xuất hiện rồi! Cái gì?! Đối phương hình như cũng
 không dễ đối phó đâu.
 Thế là tôi muốn miêu tả một pha yêu tinh dốc mình chiến đấu."
"♪东方梦之馆
 原曲：上海紅茶館　～ Chinese Tea
 星空之下伴随着悠扬的曲调，气质十足
 因为很想让中国传统的乐器出现所以变得十分中国风~","♪東方夢の館  ☆原曲：上海紅茶館　～ Chinese Tea

 星空の下に悠々と奏でる曲調、気質が十分にあります。
 中国の伝統楽器を出演させたいからすっごく中国風になりました～","♪Mansion of dream ~ East castle ☆Original:上海紅茶館 ~ Chinese Tea
 Beautiful rhythm streaming under the starry sky, full of grace.
 Couldn't help to put a lot of traditional Chinese instruments into
the song, so it turned out to be very Chinese-styled.","♪Đông Phương Mộng Chi Quán ~ East Castle
☆Nguyên Tác: Thượng Hải Hồng Trà Quán ~ Chinese Tea
 Bên dưới bầu trời kèm với giai điệu du dương, khí chất mươi phần.
 Tại vì tôi rất muốn cho nhạc khí truyền thống của Trung Quốc xuất diễn,
 cho nên bài nhạc trở nên rất là Trung Quốc phong."
"♪风卷残云
 原曲：明治十七年の上海アリス
 作为一个带有中国符号的人物，自然要将中国风进行下去！
 其实和道中曲是一套的","♪風巻残雲  ☆原曲：明治十七年の上海アリス

 中国なら中国風一直線！
 実は道中曲とワンセットでした。","♪Cloud sweeper ~ Kongfu storm ☆Original:明治十七年の上海アリス
 As a character that has strong Chinese symbols, better keep the
Chinese vibe going.
 It goes with the stage theme as a set.","♪Gió cuốn Mây tan ~ Kungfu Storm
☆Nguyên Khúc: Thượng Hải Alice của Năm Minh Trị 17
 Là một nhân vật mang vẻ tượng trưng Trung Quốc, hiển nhiên phải
 tiến hành tiếp phong cách Trung Quốc rồi!
 Thật ra bài này cùng với nhạc khúc giữa màn là một bộ đấy."
"♪沉睡中的大图书馆
 原曲：ヴワル魔法図書館
 场景从室外转向室内，因此曲风也发生了变化
 为了表现宏大的感觉采用了交响乐的风格","♪眠りし大図書館  ☆原曲：ヴワル魔法図書館

 室外から室内になりましたから、曲風も合わせて変化させました。
 広大な感じを表現するためにオーケストラ風を採用しました。","♪The sleeping bibliotheca ~ The library in silence
☆Original:ヴワル魔法図書館
 As the scene changes, the music genre changes too.
 We used symphony to express the grand epic style.","♪Đại thư viện trong Giấc nồng ~ The Library in Silence
☆Nguyên Khúc: Voile - Thư viện Ma pháp
 Cảnh từ ngoài trời chuyển vào trong nhà, do đó khúc phong cũng có
 xảy ra sự thay đổi. Để thể hiện cảm giác to lớn, tôi đã chọn dùng
 phong cách nhạc giao hưởng."
"♪华丽的恶魔之舞
 
 作为原作未能重视的人物，想要展现完全不一样的个性
 这样俏皮的感觉也不错？","♪華麗なる悪魔の舞

 原作に重視されなかったキャラの全く違う個性をアピールしたいんです。
 こんなお茶目な感じも悪くないでしょう？","♪The glamorous waltz ~ The little devil dance
 As a character not that important in the original games, we'd love
to bring out the diversity of her personality.
 The jaunty vibe of hers works just as well?","♪Vũ điệu Hoa lệ của Ác ma ~ The Little Devil Dance
 Là một nhân vật mà nguyên tác còn chưa coi trọng, tôi mong muốn
 làm hiện ra một cá tính hoàn toàn khác biệt.
 Cảm giác láu lỉnh như vậy cũng đâu tệ phải không?"
"♪时钟走廊
 原曲：メイドと血の懐中時計
 一直在用钢琴表现时间流动的感觉，同时也在提醒玩家进入了危险地带喔！","♪時計の回廊  ☆原曲：メイドと血の懐中時計
 ずっとピアノで時間の流れという感覚を表現して、同時に危険なゾーンに入った
 ことをプレイヤーに警告します。","♪The gallery of clocks ~ Flowing time ☆Original:メイドと血の懐中時計
 Use piano to put emphasis on that streaming feeling, at the same
time, warning players for they've entered the danger zone.","♪Hành lang Thời gian ~ Flowing Time
☆Nguyên Khúc: Hầu gái và Đồng hồ Máu Bỏ túi
 Tôi đã dùng suốt dương cầm để thể hiện cái cảm giác dòng thời gian
 lưu chảy, đồng thời cũng luôn nhắc nhở người chơi rằng họ đã tiến
 vào vùng nguy hiểm đó!"
